Key,id,Japanese(ja),English(en)
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-BackButton-Text (TMP) ""戻る""",0,戻る,Back
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-BGMVolumeControl-LabelText ""BGM音量""",0,BGM音量,BGM Volume
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-SaveAndQuitButton-Text (TMP) ""保存して終了""",0,セーブしてから終了,Save & Quit
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-SEVolumeControl-LabelText ""SE音量""",0,SE音量,SFX Volume
DaughterRequest-Canvas-BackgroundPanel-WishTextFromMyDaughter,0,New Text,My Daughter's Wish
HerMainScene-GameObject-Canvas-FolderPanel -FolderButton_1 (思い出)-Text (TMP),0,思い出,Memories
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BackButton-Text (TMP),0,戻る,Back
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BGMVolumeControl-LabelText,0,BGM音量,BGM Volume
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SaveAndQuitButton-Text (TMP),0,セーブしてから終了,Save & Quit
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SEVolumeControl-LabelText,0,SE音量,SFX Volume
HerMainScene-GameObject-Canvas-思い出FilePanel-思い出ファイル-似顔絵.png-Text (TMP),0,似顔絵,Portrait
"HerMainScene-GameObject-Canvas-似顔絵.FilePanel-DeleteSelectionPanel-ButtonContainer-CancelButton-Text (TMP)""いいえ""",0,いいえ,No
"HerMainScene-GameObject-Canvas-似顔絵.FilePanel-DeleteSelectionPanel-ButtonContainer-ConfirmButton-Text (TMP)""はい""",0,はい,Yes
HerMainScene-GameObject-Canvas-似顔絵.FilePanel-DeleteSelectionPanel-MessageContainer-ConfirmationMessageText,0,似顔絵を捨てますか？,Will you discard the portrait?
HerMainScene-GameObject-Canvas-似顔絵.FilePanel-TitleBar-TitleText,0,似顔絵.png,Portrait.png
MainScene-GameObject-Canvas-FirstFileOpenTipText,0,たしかファイルはダブルクリックで開けるはず,Double-click to open files
MainScene-GameObject-Canvas-FolderPanel -FolderButton_1 (思い出)-Text (TMP),0,思い出,Memories
MainScene-GameObject-Canvas-FolderPanel -FolderButton_2 (恋人)-Text (TMP),0,恋人,Lover
MainScene-GameObject-Canvas-FolderPanel -FolderButton_3 (友人)-Text (TMP),0,友人,Friend
MainScene-GameObject-Canvas-FolderPanel -FolderButton_4 (記録)-Text (TMP),0,記録,Records
MainScene-GameObject-Canvas-FolderPanel -FolderButton_5 (願い)-Text (TMP),0,願い,Wish
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BackButton-Text (TMP),0,戻る,Back
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BGMVolumeControl-LabelText,0,BGM音量,BGM Volume
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SaveAndQuitButton-Text (TMP),0,セーブしてから終了,Save & Quit
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SEVolumeControl-LabelText,0,SE音量,SFX Volume
MainScene-GameObject-Canvas-カフェの彼女.PNGFilePanel-TitleBar-TitleText,0,カフェの彼女.png,Girl at the Cafe.png
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine,0,ちょうどいい場所だ...,Just the right place...
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (1),0,何をされているんですか？,What are you doing?
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (2),0,彼女へのサプライズです,It's a surprise for her
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (3),0,ここに住んでる方のお知り合いですか？,Are you an acquaintance of the resident?
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (4),0,はい、まだ彼女には内緒なんです,"Yes,it's still a secret from her"
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (5),0,...,...
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (6),0,一生懸命描いた絵なんです。,I put my heart into this drawing.
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (6.1),0,きっと喜んでもらえるはずです。,I'm sure she'll be pleased.
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DialogueArea-DialogLine (7),0,そうですか...,I see...
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ContentScrollView-Viewport-Content-DropAreas-DropArea-Text (TMP),0,ここにドロップ,Drop here
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-InstructionText,0,発言者　（ドラッグして上の空欄にドロップ）,Speaker (Drag and drop to the box above)
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-ProgressPanel-Text (TMP),0,進捗度：  /9,Progress:  /9
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-SpeakerPalette-Landlord-Text (TMP),0,大家さん,Landlord
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-SpeakerPalette-MainCharacter-Text (TMP),0,ぼく,Me
MainScene-GameObject-Canvas-プレゼント.TXTFilePanel-TitleBar-TitleText,0,プレゼント.txt,Present.txt
MainScene-GameObject-Canvas-願いFilePanel-願いファイル-被害者の手記.pdf-Text (TMP),0,被害者の手記.pdf,Victim's Notes.pdf
MainScene-GameObject-Canvas-願いFilePanel-願いファイル-父親からの手紙.pdf-Text (TMP),0,父親からの手紙.pdf,Letter from Father.pdf
MainScene-GameObject-Canvas-願いFilePanel-願いファイル-娘からのお願い-Text (TMP),0,娘からのお願い,Daughter's Request
