Key,id,Japanese(ja),English(en)
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-BackButton-Text (TMP) ""戻る""",0,戻る,
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-BGMVolumeControl-LabelText ""BGM音量""",0,BＧＭ,
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-SaveAndQuitButton-Text (TMP) ""保存して終了""",0,セーブしてから終了,
"ConversationFatherAndDaughter-Canvas-CommonSettingsPanel-SettingsContainer-SEVolumeControl-LabelText ""SE音量""",0,ＳＥ,
DaughterRequest-Canvas-BackgroundPanel-WishTextFromMyDaughter,0,New Text,
HerMainScene-GameObject-Canvas-FolderPanel -FolderButton_1 (思い出)-Text (TMP),0,思い出,
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BackButton-Text (TMP),0,戻る,
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BGMVolumeControl-LabelText,0,BＧＭ,
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SaveAndQuitButton-Text (TMP),0,セーブしてから終了,
HerMainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SEVolumeControl-LabelText,0,ＳＥ,
HerMainScene-GameObject-Canvas-思い出FilePanel-思い出ファイル-似顔絵.png-Text (TMP),0,似顔絵,
"HerMainScene-GameObject-Canvas-似顔絵.FilePanel-DeleteSelectionPanel-ButtonContainer-CancelButton-Text (TMP)""いいえ""",0,いいえ,
"HerMainScene-GameObject-Canvas-似顔絵.FilePanel-DeleteSelectionPanel-ButtonContainer-ConfirmButton-Text (TMP)""はい""",0,はい,
HerMainScene-GameObject-Canvas-似顔絵.FilePanel-DeleteSelectionPanel-MessageContainer-ConfirmationMessageText,0,似顔絵を捨てますか？,
HerMainScene-GameObject-Canvas-似顔絵.FilePanel-TitleBar-TitleText,0,似顔絵.png,
MainScene-GameObject-Canvas-FirstFileOpenTipText,0,たしかファイルはダブルクリックで開けるはず,
MainScene-GameObject-Canvas-FolderPanel -FolderButton_1 (思い出)-Text (TMP),0,思い出,
MainScene-GameObject-Canvas-FolderPanel -FolderButton_2 (恋人)-Text (TMP),0,恋人,
MainScene-GameObject-Canvas-FolderPanel -FolderButton_3 (友人)-Text (TMP),0,友人,
MainScene-GameObject-Canvas-FolderPanel -FolderButton_4 (記録)-Text (TMP),0,記録,
MainScene-GameObject-Canvas-FolderPanel -FolderButton_5 (願い)-Text (TMP),0,願い,
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BackButton-Text (TMP),0,戻る,
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-BGMVolumeControl-LabelText,0,BＧＭ,
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SaveAndQuitButton-Text (TMP),0,セーブしてから終了,
MainScene-GameObject-Canvas-SettingsPanel-SettingsContainer-SEVolumeControl-LabelText,0,ＳＥ,
